target,iteration,red_count,red_event_count,red_event_rate
broad_PLP_to_non_PLP_or_missing,100,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,101,4,2,0.5
broad_PLP_to_non_PLP_or_missing,102,5,3,0.6
broad_PLP_to_non_PLP_or_missing,103,5,3,0.6
broad_PLP_to_non_PLP_or_missing,104,4,3,0.75
broad_PLP_to_non_PLP_or_missing,105,5,3,0.6
broad_PLP_to_non_PLP_or_missing,106,2,0,0.0
broad_PLP_to_non_PLP_or_missing,107,1,1,1.0
broad_PLP_to_non_PLP_or_missing,108,8,5,0.625
broad_PLP_to_non_PLP_or_missing,109,4,3,0.75
broad_PLP_to_non_PLP_or_missing,110,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,111,5,4,0.8
broad_PLP_to_non_PLP_or_missing,112,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,113,1,1,1.0
broad_PLP_to_non_PLP_or_missing,114,5,1,0.2
broad_PLP_to_non_PLP_or_missing,115,5,1,0.2
broad_PLP_to_non_PLP_or_missing,116,5,3,0.6
broad_PLP_to_non_PLP_or_missing,117,5,3,0.6
broad_PLP_to_non_PLP_or_missing,118,1,1,1.0
broad_PLP_to_non_PLP_or_missing,119,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,120,4,4,1.0
broad_PLP_to_non_PLP_or_missing,121,3,0,0.0
broad_PLP_to_non_PLP_or_missing,122,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,123,5,4,0.8
broad_PLP_to_non_PLP_or_missing,124,2,2,1.0
broad_PLP_to_non_PLP_or_missing,125,1,1,1.0
broad_PLP_to_non_PLP_or_missing,126,3,3,1.0
broad_PLP_to_non_PLP_or_missing,127,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,128,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,129,8,5,0.625
broad_PLP_to_non_PLP_or_missing,130,4,3,0.75
broad_PLP_to_non_PLP_or_missing,131,2,2,1.0
broad_PLP_to_non_PLP_or_missing,132,2,1,0.5
broad_PLP_to_non_PLP_or_missing,133,3,3,1.0
broad_PLP_to_non_PLP_or_missing,134,2,0,0.0
broad_PLP_to_non_PLP_or_missing,135,6,5,0.8333333333333334
broad_PLP_to_non_PLP_or_missing,136,8,5,0.625
broad_PLP_to_non_PLP_or_missing,137,9,6,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,138,1,1,1.0
broad_PLP_to_non_PLP_or_missing,139,5,2,0.4
broad_PLP_to_non_PLP_or_missing,140,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,141,4,1,0.25
broad_PLP_to_non_PLP_or_missing,142,5,1,0.2
broad_PLP_to_non_PLP_or_missing,143,4,2,0.5
broad_PLP_to_non_PLP_or_missing,144,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,145,5,3,0.6
broad_PLP_to_non_PLP_or_missing,146,6,1,0.16666666666666666
broad_PLP_to_non_PLP_or_missing,147,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,148,4,1,0.25
broad_PLP_to_non_PLP_or_missing,149,4,1,0.25
broad_PLP_to_non_PLP_or_missing,150,8,4,0.5
broad_PLP_to_non_PLP_or_missing,151,5,5,1.0
broad_PLP_to_non_PLP_or_missing,152,6,2,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,153,4,2,0.5
broad_PLP_to_non_PLP_or_missing,154,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,155,1,0,0.0
broad_PLP_to_non_PLP_or_missing,156,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,157,3,2,0.6666666666666666
broad_PLP_to_non_PLP_or_missing,158,5,0,0.0
broad_PLP_to_non_PLP_or_missing,159,2,1,0.5
broad_PLP_to_non_PLP_or_missing,160,6,5,0.8333333333333334
broad_PLP_to_non_PLP_or_missing,161,5,2,0.4
broad_PLP_to_non_PLP_or_missing,162,4,1,0.25
broad_PLP_to_non_PLP_or_missing,163,8,5,0.625
broad_PLP_to_non_PLP_or_missing,164,6,1,0.16666666666666666
broad_PLP_to_non_PLP_or_missing,165,3,3,1.0
broad_PLP_to_non_PLP_or_missing,166,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,167,6,1,0.16666666666666666
broad_PLP_to_non_PLP_or_missing,168,7,5,0.7142857142857143
broad_PLP_to_non_PLP_or_missing,169,6,1,0.16666666666666666
broad_PLP_to_non_PLP_or_missing,170,0,0,
broad_PLP_to_non_PLP_or_missing,171,5,3,0.6
broad_PLP_to_non_PLP_or_missing,172,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,173,10,1,0.1
broad_PLP_to_non_PLP_or_missing,174,2,1,0.5
broad_PLP_to_non_PLP_or_missing,175,4,2,0.5
broad_PLP_to_non_PLP_or_missing,176,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,177,8,5,0.625
broad_PLP_to_non_PLP_or_missing,178,4,2,0.5
broad_PLP_to_non_PLP_or_missing,179,8,4,0.5
broad_PLP_to_non_PLP_or_missing,180,4,2,0.5
broad_PLP_to_non_PLP_or_missing,181,4,0,0.0
broad_PLP_to_non_PLP_or_missing,182,1,0,0.0
broad_PLP_to_non_PLP_or_missing,183,7,3,0.42857142857142855
broad_PLP_to_non_PLP_or_missing,184,3,1,0.3333333333333333
broad_PLP_to_non_PLP_or_missing,185,3,1,0.3333333333333333
