weight_profile,profile_role,component_weight_total,vital_red_count,shared_with_primary_red_count,gained_vs_primary_count,lost_vs_primary_count,shared_with_primary_red_variants,gained_vs_primary_variants,lost_vs_primary_variants,naive_af_flag_count,ac_supported_flag_count,compression_vs_naive_percent,proxy_false_positive_count,max_score,p95_score,spearman_rank_correlation_with_primary,weighting_note
primary_expert_weights,primary,109.0,3,3,0,0,VCV000440850; VCV001325231; VCV004535537,,,115,9,97.3913043478261,0,96.07000729211029,36.00756182922642,0.9999999999999999,expert_weight_sensitivity_not_empirical_refitting
balanced_equal_components,sensitivity_profile,105.0,1,1,0,2,VCV000440850,,VCV001325231; VCV004535537,115,9,99.1304347826087,0,79.03903155672212,43.995596068173896,0.9895632613178319,expert_weight_sensitivity_not_empirical_refitting
frequency_dominant,sensitivity_profile,109.0,2,2,0,1,VCV000440850; VCV001325231,,VCV004535537,115,9,98.26086956521739,0,99.47635825419813,31.5895483671626,0.9988730843384623,expert_weight_sensitivity_not_empirical_refitting
review_fragility_dominant,sensitivity_profile,107.0,3,3,0,0,VCV000440850; VCV001325231; VCV004535537,,,115,9,97.3913043478261,0,96.531469751214,37.441389399518016,0.9943617993340296,expert_weight_sensitivity_not_empirical_refitting
technical_detectability_dominant,sensitivity_profile,111.0,3,3,0,0,VCV000440850; VCV001325231; VCV004535537,,,115,9,97.3913043478261,0,92.89023263781193,41.54921441319138,0.9995341647249317,expert_weight_sensitivity_not_empirical_refitting
reduced_af_pressure,sensitivity_profile,105.0,2,2,0,1,VCV000440850; VCV001325231,,VCV004535537,115,9,98.26086956521739,0,89.02027391137797,39.060250588005104,0.9981156492216909,expert_weight_sensitivity_not_empirical_refitting
