feature,exact_positive,exact_total,exact_fraction,non_overlap_positive,non_overlap_total,non_overlap_fraction,odds_ratio_non_overlap_vs_exact,fisher_p_two_sided,bh_q
is_snv,249,350,0.7114285714285714,721,1381,0.5220854453294714,0.4431118413046124,1.2705637170132356e-10,5.082254868052942e-10
is_indel,101,350,0.2885714285714286,652,1381,0.4721216509775525,2.2049464205679827,4.062177344883823e-10,1.0832472919690194e-09
is_cpg_transition_proxy,119,350,0.34,213,1381,0.15423606082548877,0.35399879129734085,1.0645974267039439e-13,8.516779413631551e-13
is_hotspot_position,59,350,0.16857142857142857,213,1381,0.15423606082548877,0.899451474344091,0.5111970257806454,0.6815960343741939
is_local_hotspot_5bp,109,350,0.31142857142857144,430,1381,0.3113685734974656,0.9997202365448249,1.0,1.0
feature_LOF,261,350,0.7457142857142857,901,1381,0.6524257784214338,0.6400782247765007,0.0009067112348912908,0.0014507379758260653
feature_missense,70,350,0.2,407,1381,0.2947139753801593,1.6714579055441479,0.00037283726138120145,0.0007456745227624029
feature_splice_or_intronic,12,350,0.03428571428571429,49,1381,0.03548153511947864,1.0361611611611612,1.0,1.0
