group,label,variant_count,query_ok_count,query_error_count,exome_ac_positive,genome_ac_positive,genome_only_ac_positive,exome_only_ac_positive,both_ac_positive,neither_ac_positive,max_exome_af,max_genome_af,genome_af_gt_1e_5,genome_af_gt_1e_4
overall,all_exact_matches,350,350,0,226,54,14,186,40,110,0.0001464876505434,0.0013194517382627,20,1
variant_type,SNV,249,249,0,156,38,9,127,29,84,0.0001464876505434,0.0013194517382627,16,1
variant_type,deletion,75,75,0,52,12,4,44,8,19,2.774748677138568e-05,4.599513765687627e-05,4,0
variant_type,duplication,22,22,0,16,2,1,15,1,5,1.1833916893360138e-05,6.573584707212537e-06,0,0
variant_type,insertion,4,4,0,2,2,0,0,2,2,1.573551204040332e-05,6.573930421520419e-06,0,0
functional_class,LOF,261,261,0,170,34,8,144,26,83,6.79663424697027e-05,4.599513765687627e-05,12,0
functional_class,missense,70,70,0,40,12,5,33,7,25,3.078341745187184e-05,1.971608832807571e-05,4,0
functional_class,other_or_unresolved,7,7,0,5,3,1,3,2,1,0.0001464876505434,0.0013194517382627,2,1
functional_class,splice_or_intronic,12,12,0,11,5,0,6,5,1,5.278376069899409e-05,2.633554112953136e-05,2,0
