scope,denominator_cases,baseline_false_causal_attributions,baseline_false_attribution_rate_per_case,vital_false_causal_attributions,vital_false_attribution_rate_per_case,prevented_false_attribution,EVAL_LIMITED_count,EVAL_LIMITED_percent_of_cases,CHECK_MODEL_count,CHECK_MODEL_percent_of_cases,CHECK_POPMAX_count,CHECK_POPMAX_percent_of_cases,MODEL_CONFLICT_count,MODEL_CONFLICT_percent_of_cases
all_cases,10000,7975,79.75,10,0.1,7965,6193,61.93,952,9.52,478,4.78,899,8.99
evaluable_cases,3648,2540,69.62719298245614,10,0.2741228070175439,2530,0,0.0,952,26.096491228070175,478,13.103070175438596,899,24.64364035087719
