component,mean_points,median_points,max_points_observed,variants_with_nonzero_component
AF pressure,7.16821127319805,2.5729101457286787,34.58257625774554,41
AC reliability,4.772040922359892,4.55340497393906,20.0,41
Technical detectability,3.2852459404038354,3.2800000000000002,6.531674641148325,41
Popmax enrichment,2.7436647507467753,1.409384910453055,10.0,41
Review fragility,2.4324324324324325,0.0,8.0,35
Gene constraint,1.8102477477477479,0.8333333333333333,6.25,41
Variant type tension,0.8513513513513513,0.0,6.0,15
