review_strength,variant_count,frequency_flag_count,ac_supported_frequency_count,vital_red_count,median_vital_score,max_vital_score,variant_fraction,ac_supported_fraction_within_review_strength,vital_red_fraction_within_review_strength,share_of_ac_supported_frequency_variants,share_of_vital_red_variants
single_submitter,1306,57,2,2,0.0,74.34422242107016,0.7544771808203351,0.0015313935681470138,0.0015313935681470138,0.2222222222222222,0.6666666666666666
weak_or_no_assertion,60,5,1,1,4.5,96.07000729211029,0.03466204506065858,0.016666666666666666,0.016666666666666666,0.1111111111111111,0.3333333333333333
multiple_submitters_no_conflicts,365,53,6,0,6.0,64.5651490365195,0.21086077411900636,0.01643835616438356,0.0,0.6666666666666666,0.0
