variant_type,clinvar_plp_variant_count,exact_match_count,allele_discordance_count,no_gnomad_record_count,non_overlap_count,exact_match_fraction,non_overlap_fraction,technical_detectability_prior,technical_detectability_index
SNV,275,105,0,168,168,0.38181818181818183,0.610909090909091,0.95,0.8363636363636364
deletion,139,23,0,115,115,0.16546762589928057,0.8273381294964028,0.72,0.609093525179856
duplication,55,14,0,41,41,0.2545454545454545,0.7454545454545455,0.45,0.41090909090909095
Microsatellite,14,4,0,10,10,0.2857142857142857,0.7142857142857143,0.6,0.5371428571428571
insertion,11,3,0,7,7,0.2727272727272727,0.6363636363636364,0.7,0.6145454545454545
indel,6,0,0,6,6,0.0,1.0,0.6,0.48
