scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
frequency_observed,broad_PLP_to_non_PLP_or_missing,60,3,0,3,6,66,0.0,0.0,0.9565217391304348,0.043478260869565216
frequency_observed,broad_PLP_to_non_PLP_or_missing,65,1,0,1,6,68,0.0,0.0,0.9855072463768116,0.014492753623188406
frequency_observed,broad_PLP_to_non_PLP_or_missing,70,0,0,0,6,69,,0.0,1.0,0.0
frequency_observed,broad_PLP_to_non_PLP_or_missing,75,0,0,0,6,69,,0.0,1.0,0.0
frequency_observed,broad_PLP_to_non_PLP_or_missing,80,0,0,0,6,69,,0.0,1.0,0.0
frequency_observed,broad_PLP_to_non_PLP_or_missing,85,0,0,0,6,69,,0.0,1.0,0.0
frequency_observed,broad_PLP_to_non_PLP_or_missing,90,0,0,0,6,69,,0.0,1.0,0.0
frequency_observed,broad_PLP_to_non_PLP_or_missing,95,0,0,0,6,69,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,40,12,4,8,24,39,0.3333333333333333,0.14285714285714285,0.8297872340425532,0.1702127659574468
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,45,6,3,3,25,44,0.5,0.10714285714285714,0.9361702127659575,0.06382978723404255
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,50,5,2,3,26,44,0.4,0.07142857142857142,0.9361702127659575,0.06382978723404255
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,55,4,2,2,26,45,0.5,0.07142857142857142,0.9574468085106383,0.0425531914893617
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,60,3,1,2,27,45,0.3333333333333333,0.03571428571428571,0.9574468085106383,0.0425531914893617
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,65,1,1,0,27,47,1.0,0.03571428571428571,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,70,0,0,0,28,47,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,75,0,0,0,28,47,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,80,0,0,0,28,47,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,85,0,0,0,28,47,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,90,0,0,0,28,47,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,95,0,0,0,28,47,,0.0,1.0,0.0
