target,threshold,tp,fp,fn,tn,tpr_recall,fpr,precision,specificity
strict_PLP_to_BLB_or_VUS,inf,0,0,1,299,0.0,0.0,,1.0
strict_PLP_to_BLB_or_VUS,66.87729657111704,0,1,1,298,0.0,0.0033444816053511705,0.0,0.9966555183946488
strict_PLP_to_BLB_or_VUS,62.43459048412933,0,2,1,297,0.0,0.006688963210702341,0.0,0.9933110367892977
strict_PLP_to_BLB_or_VUS,60.53945926268483,0,3,1,296,0.0,0.010033444816053512,0.0,0.9899665551839465
strict_PLP_to_BLB_or_VUS,56.29773901661538,0,4,1,295,0.0,0.013377926421404682,0.0,0.9866220735785953
strict_PLP_to_BLB_or_VUS,54.88110955431302,0,5,1,294,0.0,0.016722408026755852,0.0,0.9832775919732442
strict_PLP_to_BLB_or_VUS,48.73895849117748,0,6,1,293,0.0,0.020066889632107024,0.0,0.979933110367893
strict_PLP_to_BLB_or_VUS,44.82331041405297,0,7,1,292,0.0,0.023411371237458192,0.0,0.9765886287625418
strict_PLP_to_BLB_or_VUS,43.80953149217103,0,8,1,291,0.0,0.026755852842809364,0.0,0.9732441471571907
strict_PLP_to_BLB_or_VUS,42.33415517158525,0,9,1,290,0.0,0.030100334448160536,0.0,0.9698996655518395
strict_PLP_to_BLB_or_VUS,41.3184717793797,0,10,1,289,0.0,0.033444816053511704,0.0,0.9665551839464883
strict_PLP_to_BLB_or_VUS,41.09819011230004,0,11,1,288,0.0,0.03678929765886288,0.0,0.9632107023411371
strict_PLP_to_BLB_or_VUS,40.98554978696188,0,12,1,287,0.0,0.04013377926421405,0.0,0.959866220735786
strict_PLP_to_BLB_or_VUS,38.73455977983207,0,13,1,286,0.0,0.043478260869565216,0.0,0.9565217391304348
strict_PLP_to_BLB_or_VUS,38.562194838202345,0,14,1,285,0.0,0.046822742474916385,0.0,0.9531772575250836
strict_PLP_to_BLB_or_VUS,38.01475156413299,0,15,1,284,0.0,0.05016722408026756,0.0,0.9498327759197325
strict_PLP_to_BLB_or_VUS,36.2972349199351,0,16,1,283,0.0,0.05351170568561873,0.0,0.9464882943143813
strict_PLP_to_BLB_or_VUS,36.07548868188528,0,17,1,282,0.0,0.056856187290969896,0.0,0.9431438127090301
strict_PLP_to_BLB_or_VUS,35.900557184702166,0,18,1,281,0.0,0.06020066889632107,0.0,0.939799331103679
strict_PLP_to_BLB_or_VUS,34.33628920482271,0,19,1,280,0.0,0.06354515050167224,0.0,0.9364548494983278
strict_PLP_to_BLB_or_VUS,33.93779771575755,0,20,1,279,0.0,0.06688963210702341,0.0,0.9331103678929766
strict_PLP_to_BLB_or_VUS,33.91502321227918,0,21,1,278,0.0,0.07023411371237458,0.0,0.9297658862876255
strict_PLP_to_BLB_or_VUS,32.96902790315449,0,22,1,277,0.0,0.07357859531772576,0.0,0.9264214046822743
strict_PLP_to_BLB_or_VUS,31.477261168617357,0,23,1,276,0.0,0.07692307692307693,0.0,0.9230769230769231
strict_PLP_to_BLB_or_VUS,30.94483793549672,0,24,1,275,0.0,0.0802675585284281,0.0,0.919732441471572
strict_PLP_to_BLB_or_VUS,29.60484759152951,0,25,1,274,0.0,0.08361204013377926,0.0,0.9163879598662207
strict_PLP_to_BLB_or_VUS,28.834772064221177,0,26,1,273,0.0,0.08695652173913043,0.0,0.9130434782608695
strict_PLP_to_BLB_or_VUS,28.68392102010325,0,27,1,272,0.0,0.0903010033444816,0.0,0.9096989966555183
strict_PLP_to_BLB_or_VUS,28.165159514782424,0,28,1,271,0.0,0.09364548494983277,0.0,0.9063545150501672
strict_PLP_to_BLB_or_VUS,25.7131100230013,0,29,1,270,0.0,0.09698996655518395,0.0,0.903010033444816
strict_PLP_to_BLB_or_VUS,6.0,0,34,1,265,0.0,0.11371237458193979,0.0,0.8862876254180602
