method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,benchmark_positive_definition,benchmark_negative_definition
global_AF_gt_1e-5,0,5,0,152,0.0,,0.9681528662420382,0.03184713375796178,,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy
global_AF_gt_1e-4,0,0,0,157,,,1.0,0.0,,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy
popmax_or_global_AF_gt_1e-5,0,5,0,152,0.0,,0.9681528662420382,0.03184713375796178,,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy
popmax_or_global_AF_gt_1e-4,0,0,0,157,,,1.0,0.0,,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy
AF_gt_1e-5_and_AC_ge_20,0,2,0,155,0.0,,0.9872611464968153,0.012738853503184714,,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy
VITAL_red,0,0,0,157,,,1.0,0.0,,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy
