variant_type,clinvar_plp_variant_count,frequency_observed_count,no_frequency_evidence_count,frequency_observed_fraction,no_frequency_evidence_fraction,absence_enrichment_vs_snv,odds_ratio_vs_snv,fisher_p_vs_snv
indel,77,0,77,0.0,1.0,1.466864490603363,inf,5.346927645576625e-13
Inversion,1,0,1,0.0,1.0,1.466864490603363,inf,1.0
insertion,68,3,65,0.04411764705882353,0.9558823529411765,1.4021498807238029,10.115397296406199,6.026577572276669e-08
duplication,380,48,332,0.12631578947368421,0.8736842105263158,1.2815763444218857,3.229146060006594,4.1882108150275795e-15
deletion,894,124,770,0.13870246085011187,0.8612975391498882,1.2634067760230308,2.8990778851983023,8.525206603846367e-24
Microsatellite,97,21,76,0.21649484536082475,0.7835051546391752,1.149295889544903,1.6896048231359804,0.04124597428658165
SNV,1483,472,1011,0.31827376938637897,0.681726230613621,1.0,,
