method,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate,false_negative_rate,benchmark_positive_definition,benchmark_negative_definition,confidence_interval_method,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high
global_AF_gt_1e-5,2,19,0,44,0.09523809523809523,1.0,0.6984126984126984,0.30158730158730157,0.0,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy,Wilson 95%,0.026518208796947246,0.2891458386074067,0.34237195288961925,1.0,0.5763939457458815,0.7976246295126401,0.20237537048735993,0.4236060542541184,0.0,0.6576280471103807
global_AF_gt_1e-4,0,5,2,58,0.0,0.0,0.9206349206349206,0.07936507936507936,1.0,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy,Wilson 95%,0.0,0.43449149475208104,0.0,0.6576280471103807,0.8272947198845853,0.9656246596634805,0.03437534033651937,0.17270528011541472,0.34237195288961925,1.0
popmax_or_global_AF_gt_1e-5,2,46,0,17,0.041666666666666664,1.0,0.2698412698412698,0.7301587301587301,0.0,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy,Wilson 95%,0.011501652078965613,0.13975911147771472,0.34237195288961925,1.0,0.17583701687980413,0.39030143582031074,0.6096985641796893,0.8241629831201958,0.0,0.6576280471103807
popmax_or_global_AF_gt_1e-4,1,18,1,45,0.05263157894736842,0.5,0.7142857142857143,0.2857142857142857,0.5,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy,Wilson 95%,0.009351752490529969,0.2463921533654521,0.09452865480086614,0.9054713451991339,0.5929704958526203,0.8109695654265832,0.18903043457341695,0.4070295041473797,0.09452865480086614,0.9054713451991339
AF_gt_1e-5_and_AC_ge_20,2,18,0,45,0.1,1.0,0.7142857142857143,0.2857142857142857,0.0,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy,Wilson 95%,0.027865893984153206,0.30103820641179335,0.34237195288961925,1.0,0.5929704958526203,0.8109695654265832,0.18903043457341695,0.4070295041473797,0.0,0.6576280471103807
VITAL_red,0,0,2,63,,0.0,1.0,0.0,1.0,weak_review_and_AC_supported_frequency_signal,review_score_ge_2_current_PLP_proxy,Wilson 95%,,,0.0,0.6576280471103807,0.9425268096514744,0.9999999999999999,0.0,0.057473190348525466,0.34237195288961925,1.0
