scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
frequency_observed,broad_PLP_to_non_PLP_or_missing,90,0,0,0,4,19,,0.0,1.0,0.0
frequency_observed,broad_PLP_to_non_PLP_or_missing,95,0,0,0,4,19,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,40,3,1,2,10,10,0.3333333333333333,0.09090909090909091,0.8333333333333334,0.16666666666666666
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,45,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,50,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,55,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,60,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,65,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,70,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,75,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,80,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,85,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,90,0,0,0,11,12,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,95,0,0,0,11,12,,0.0,1.0,0.0
