af_bin,case_count,baseline_causal_attributions,baseline_false_causal_attributions,baseline_false_causal_percent,vital_causal_attributions,vital_false_causal_attributions,vital_false_causal_percent,defer_percent,model_conflict_percent,prevented_false_attribution,de_novo_override_errors
<1e-6,705,705,519,73.61702127659575,15,5,0.7092198581560284,51.48936170212766,0.0,514,22
1e-6-1e-5,2354,2204,1528,64.910790144435,25,3,0.1274426508071368,79.99150382327953,0.0,1525,77
1e-5-1e-4,2538,2379,1875,73.87706855791963,8,2,0.07880220646178093,87.31284475965327,0.0,1873,90
1e-4-1e-3,2276,2069,2066,90.77328646748681,0,0,0.0,71.57293497363796,19.332161687170476,2066,89
1e-3-1e-2,2127,1991,1987,93.41795956746591,0,0,0.0,72.02632816173013,21.57968970380818,1987,93
>=1e-2,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0
