scope,target,score_threshold,flagged_count,true_positives,false_positives,false_negatives,true_negatives,precision,recall,specificity,false_positive_rate
frequency_observed,broad_PLP_to_non_PLP_or_missing,65,12,2,10,36,407,0.16666666666666666,0.05263157894736842,0.9760191846522782,0.023980815347721823
frequency_observed,broad_PLP_to_non_PLP_or_missing,70,8,2,6,36,411,0.25,0.05263157894736842,0.9856115107913669,0.014388489208633094
frequency_observed,broad_PLP_to_non_PLP_or_missing,75,7,2,5,36,412,0.2857142857142857,0.05263157894736842,0.988009592326139,0.011990407673860911
frequency_observed,broad_PLP_to_non_PLP_or_missing,80,5,2,3,36,414,0.4,0.05263157894736842,0.9928057553956835,0.007194244604316547
frequency_observed,broad_PLP_to_non_PLP_or_missing,85,3,1,2,37,415,0.3333333333333333,0.02631578947368421,0.9952038369304557,0.004796163069544364
frequency_observed,broad_PLP_to_non_PLP_or_missing,90,0,0,0,38,417,,0.0,1.0,0.0
frequency_observed,broad_PLP_to_non_PLP_or_missing,95,0,0,0,38,417,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,40,97,40,57,95,263,0.41237113402061853,0.2962962962962963,0.821875,0.178125
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,45,67,31,36,104,284,0.4626865671641791,0.22962962962962963,0.8875,0.1125
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,50,40,18,22,117,298,0.45,0.13333333333333333,0.93125,0.06875
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,55,24,14,10,121,310,0.5833333333333334,0.1037037037037037,0.96875,0.03125
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,60,17,12,5,123,315,0.7058823529411765,0.08888888888888889,0.984375,0.015625
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,65,12,8,4,127,316,0.6666666666666666,0.05925925925925926,0.9875,0.0125
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,70,8,5,3,130,317,0.625,0.037037037037037035,0.990625,0.009375
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,75,7,5,2,130,318,0.7142857142857143,0.037037037037037035,0.99375,0.00625
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,80,5,4,1,131,319,0.8,0.02962962962962963,0.996875,0.003125
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,85,3,2,1,133,319,0.6666666666666666,0.014814814814814815,0.996875,0.003125
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,90,0,0,0,135,320,,0.0,1.0,0.0
frequency_observed,expanded_PLP_to_non_PLP_or_review_change,95,0,0,0,135,320,,0.0,1.0,0.0
